age_group,total_death_group,male_death_age,female_death_age
Under 1 year,3117,1711,1406
Under 1 day,652,351,301
1 day to < 1 week,842,467,375
1 week to < 4 weeks,486,267,219
4 weeks to < 3 months ,459,248,211
3 months to < 6 months ,349,195,154
6 months to < 9 months,203,120,83
9 months to < 12 months ,126,63,63
1 year,167,87,80
2 years,233,135,98
3 years,133,68,65
4 years,115,71,44
0-4,3765,2072,1693
5-9,596,352,244
10-14,656,384,272
15-19 ,1591,1215,376
20-24 ,2136,1615,521
25-29 ,2423,1718,705
30-34 ,3017,2081,936
35-39 ,4144,2803,1341
40-44 ,5591,3778,1813
45-49 ,7436,4944,2492
50-54 ,10717,6919,3798
55-59 ,14572,9334,5238
60-64 ,18046,11275,6771
65-69 ,19539,11855,7684
70-74 ,20351,11901,8450
75-79 ,19672,10737,8935
80-84 ,19479,9201,10278
85 and over,20015,7497,12518
