state_death,total_death,male_death,female_death,total_death_rate,male_death_rate,female_death_rate
Johor,21776,12743,9033,5.789692401321186,6.45345892839056,5.056065627541536
Kedah,14292,8027,6265,6.5748282342225055,7.287441306455655,5.8427938720143695
Kelantan,11389,6436,4953,6.0456173653444765,6.759488858291244,5.316083164019358
Melaka,5542,3084,2458,5.969409737182249,6.619758820978883,5.314341804281742
Negeri Sembilan,7157,4097,3060,6.355021683614575,7.056639131363377,5.60842216389789
Pahang,9165,5381,3784,5.483302401883887,6.067542425438349,4.822913427174517
Perak,18712,10554,8158,7.458542945414961,8.322346217172704,6.57559067874959
Perlis,1994,1124,870,7.8489104421211735,8.886218455505661,6.820319849482596
Pulau Pinang,10879,6101,4778,6.150354949936145,6.862010711980007,5.431131591839889
Sabah,14493,8439,6054,3.711919402712137,4.142434154980739,3.2422167251040435
Sarawak,13990,7888,6102,4.985705742863028,5.401526232462844,4.534463258363343
Selangor,27700,16142,11558,4.257525252734845,4.782697195891182,3.6914204974443026
Terengganu,7334,4201,3133,5.893177124765969,6.6345651209177525,5.125218594744565
W.P. Kuala Lumpur,8819,5168,3651,4.947440110673658,5.6468531468531475,4.209431617201137
W.P. Labuan,296,182,114,2.981166280592205,3.6373083917900755,2.3145798225488803
W.P. Putrajaya,208,114,94,2.0067147763670743,2.3478529502625887,1.7060820008348911
