Tweets,Timestamp
"RT @stadiumastro: NUR DHABITAH IS THROUGH TO THE FINAL!

#Tokyo2020 #SokongMalaysia #GanbatteMalaysia https://t.co/F7reg8ztlu",2021-07-31 07:26:36
Limerick is incredibly proud of @sarahlavin_ 🏃‍♀️ She is a phenomenal athlete who ran her 2nd fastest race at… https://t.co/iftlWMVibt,2021-07-31 07:26:36
"RT @stadiumastro: NUR DHABITAH IS THROUGH TO THE FINAL!

#Tokyo2020 #SokongMalaysia #GanbatteMalaysia https://t.co/F7reg8ztlu",2021-07-31 07:26:36
"RT @Ra_THORe: Amazing performance! 
#KamalpreetKaur advances to Women’s Discus Throw finals at #Tokyo2020  

India’s daughters continue to…",2021-07-31 07:26:36
"RT @BadmintonTalk: INDONESIA #INA Men's Singles Rises Again!

Anthony Sinisuka Ginting has become the FIRST Indonesian MS player to reach t…",2021-07-31 07:26:36
"RT @BadmintonTalk: INDONESIA #INA Men's Singles Rises Again!

Anthony Sinisuka Ginting has become the FIRST Indonesian MS player to reach t…",2021-07-31 07:26:36
"RT @BadmintonTalk: INDONESIA #INA Men's Singles Rises Again!

Anthony Sinisuka Ginting has become the FIRST Indonesian MS player to reach t…",2021-07-31 07:26:35
"Yasss!!! Lets go final!!! Dhabitah sabri has scored 58.50 on the last round fpr semi, bringing to a total of 312.60… https://t.co/uUpdDNMgRu",2021-07-31 07:26:35
"RT @BadmintonTalk: Anders Antonsen: ""I felt good out there but it was a tough match. I didn't handle the drift too well, I made too many mi…",2021-07-31 07:26:35
RT @urstrulyMahesh: Off to a flying start! Huge congratulations to #MirabaiChanu on winning the silver for weightlifting at the #Tokyo2020…,2021-07-31 07:26:35
RT @skymods: Dirty South Korean TV crew interfered with the game by lighting up the eyes of the Japanese players. The world now knows that…,2021-07-31 07:26:35
"RT @rapplerdotcom: EMOTIONAL WIN. 🥊💪🏻🇵🇭

Winning moment for Filipina boxer Nesthy Petecio as she now has a chance to capture another #gold…",2021-07-31 07:26:34
"RT @BadmintonTalk: ANOTHER HISTORY FOR INDONESIA!!

Greysia Polii/Apriyani Rahayu has become the

FIRST EVER Indonesian Women's Doubles pai…",2021-07-31 07:26:34
"RT @stadiumastro: NUR DHABITAH IS THROUGH TO THE FINAL!

#Tokyo2020 #SokongMalaysia #GanbatteMalaysia https://t.co/F7reg8ztlu",2021-07-31 07:26:33
RT @SportsRifle: Today we want to celebrate the President of Triathlon Zimbabwe David Ellis. Ellis was appointed by World Triathlon as one…,2021-07-31 07:26:33
"RT @Media_SAI: Sailors @VarunThakkar100 and KC Ganapathy Finish Race 10 on 16th spot.

Race 11 to follow soon. Stay tuned for updates.

#To…",2021-07-31 07:26:33
"RT @BadmintonTalk: INDONESIA #INA Men's Singles Rises Again!

Anthony Sinisuka Ginting has become the FIRST Indonesian MS player to reach t…",2021-07-31 07:26:33
"RT @TeamMsia: #Diving  | 31 Julai

3m Springboard (SF)
Kedudukan selepas 4 terjunan:

1️⃣ Tingmao Shi 🇨🇳 - 290.45
2️⃣ Han Wang 🇨🇳 - 274.85…",2021-07-31 07:26:32
"RT @BBCSport: When you win Olympic gold and set a world record at the same time! 😱

Great Britain's mixed medley relay team made history!…",2021-07-31 07:26:31
"RT @BadmintonTalk: Anthony Sinisuka Ginting:""Of course I'm not trying to think about anything but I'm focusing on what is happening on cour…",2021-07-31 07:26:31
"RT @timesofindia: #Tokyo2020 #TeamIndia #Cheer4India 

Lovlina Borgohain: Everything you need to know about India's new Olympic medallist…",2021-07-31 07:26:31
RT @yutohorigome: Many young athletes are competing in the Olympic Games for the first time. Join me and @AlibabaGroup in cheering for all…,2021-07-31 07:26:31
RT @SportsDayDFW: Southlake’s Hailey Hernandez opens Olympic diving competition with top U.S. score in prelims… https://t.co/IOq6LUjUgJ,2021-07-31 07:26:31
"RT @stadiumastro: NUR DHABITAH IS THROUGH TO THE FINAL!

#Tokyo2020 #SokongMalaysia #GanbatteMalaysia https://t.co/F7reg8ztlu",2021-07-31 07:26:30
RT @ddsportschannel: Fireworks from #TeamIndia against Japan. Manpreet and co. finished off the things in style with a top-two finish in Po…,2021-07-31 07:26:30
"RT @BadmintonTalk: #Tokyo2020 #Badminton MS SEMIFINAL
1 Aug 2021

Anthony Sinisuka Ginting #INA vs Chen Long #CHN

H2H: 8-4

Last Meeting:…",2021-07-31 07:26:30
"RT @SportsDayDFW: 3 jumps, 2 hours, 1 new goal: Mansfield’s Jasmine Moore sees brief Tokyo Olympics as 2024 motivat… https://t.co/4aSTrnxJ6g",2021-07-31 07:26:30
"RT @varunpuri1984: History Scripted !

#KamalpreetKaur qualifies for the finals to become India's first #Athletics finalist at #Tokyo2020…",2021-07-31 07:26:29
RT @armysanctuary: Congratulations for Greysia Polii/Apriyani Rahayu who has become the 1st Indonesian Women's Doubles pair to win an #Olym…,2021-07-31 07:26:29
"RT @phlemzy_king: Historic hat-trick! 🔥

Vandana Katariya becomes the first female #IND #Hockey player to score a hat-trick at the #Olympic…",2021-07-31 07:26:29
"RT @PhilstarNews: ANOTHER CHANCE AT GOLD! 🥊🇵🇭

Boxer Nesthy Petacio is into the finals of the #Tokyo2020 Olympics Women's Featherweight aft…",2021-07-31 07:26:29
"RT @TeamMsia: #Diving  | 31 Julai

3m Springboard (SF)
Kedudukan selepas 4 terjunan:

1️⃣ Tingmao Shi 🇨🇳 - 290.45
2️⃣ Han Wang 🇨🇳 - 274.85…",2021-07-31 07:26:29
"KAMAAL kar diya aapne #KamalpreetKaur .
Two more days and we can witness HISTORY! #Tokyo2020 

#KamalpreetKaur https://t.co/SiD366bFwZ",2021-07-31 07:26:28
"RT @TeamSA2020: Welcoming our Golden Girl @TRSchoenmaker home after winning #Gold 

What a special team 😭🥺🇿🇦❤️

#TeamSA
#Tokyo2020 https://…",2021-07-31 07:26:28
"RT @mygovindia: Wow. 😳 What a historic hat-trick! 🔥

Vandana Katariya becomes the first-ever Indian woman #Hockey player to score a hat-tri…",2021-07-31 07:26:28
"RT @Ra_THORe: Amazing performance! 
#KamalpreetKaur advances to Women’s Discus Throw finals at #Tokyo2020  

India’s daughters continue to…",2021-07-31 07:26:28
"RT @BadmintonTalk: GUATEMALA #GUA has a #Badminton SEMIFINALIST in the #OlympicGames FOR THE FIRST TIME EVER!!!!

KEVIN CORDON!!!!

#Tokyo2…",2021-07-31 07:26:28
RT @ABSCBNNews: #LabanPilipinas: Nesthy Petecio 🇵🇭 is on the brink of giving the Philippines its second Olympic gold after beating Italy's…,2021-07-31 07:26:28
"RT @LovlinaBorgohan: I have fixed a medal for India in the #Tokyo2020 

Thanks for your support 🇮🇳 
#LovlinaBorgohain . https://t.co/kaWUrI…",2021-07-31 07:26:28
